publicationYear,publicationPeriod,anthologyOrManual,Anthologies_et_manuels
1802,1802,http://e-editiones.ch/project/data/delille#work-mozinfranzoesische,1
1803,1803,http://e-editiones.ch/project/data/delille#work-moysantbibliotheque,600
1805,1805,http://e-editiones.ch/project/data/delille#work-jacquemardelements,3
1807,1807,http://e-editiones.ch/project/data/delille#work-brunelcours,44
1808,1808,http://e-editiones.ch/project/data/delille#work-gnphsiecles,40
1811,1811,http://e-editiones.ch/project/data/delille#work-jacquemardabrege,1
1811,1811,http://e-editiones.ch/project/data/delille#work-spadarecueil,1
1812,1812,http://e-editiones.ch/project/data/delille#work-litteraturedesdames,48
1814,1814,http://e-editiones.ch/project/data/delille#work-moustalonmorale,7
1815,1815,http://e-editiones.ch/project/data/delille#work-feriereclef,8
1819,1819,http://e-editiones.ch/project/data/delille#work-pauletdescription,2
1821,1821,http://e-editiones.ch/project/data/delille#work-beschertheorie,2
1822,1822,http://e-editiones.ch/project/data/delille#work-girault-duviviergrammaire,2
1822,1822,http://e-editiones.ch/project/data/delille#work-hortnouveaulecteur,67
1822,1822,http://e-editiones.ch/project/data/delille#work-noeletudes,97
1824,1824,http://e-editiones.ch/project/data/delille#work-mansartlitterateur,55
1824,1824-1827,http://e-editiones.ch/project/data/delille#work-repertoire,67
1824,1824,http://e-editiones.ch/project/data/delille#work-capelledictionnaire,96
1826,1826,http://e-editiones.ch/project/data/delille#work-boucharlatcours,43
1832,1832,http://e-editiones.ch/project/data/delille#work-chrestomathie,42
1833,1833,http://e-editiones.ch/project/data/delille#work-chemin-dupontesexercices,2
1834,1834,http://e-editiones.ch/project/data/delille#work-champalbertpetitcours,18
1839,1839,http://e-editiones.ch/project/data/delille#work-sabatiercours,55
1840,1840,http://e-editiones.ch/project/data/delille#work-dessiauxtraite,3
1841,1841,http://e-editiones.ch/project/data/delille#work-ladreytanew,60
1843,1843,http://e-editiones.ch/project/data/delille#work-chautardlabonne,7
1846,1846,http://e-editiones.ch/project/data/delille#work-belezeexercices,41
1847,1847,http://e-editiones.ch/project/data/delille#work-clairgrammaire,2
1848,1848,http://e-editiones.ch/project/data/delille#work-girardcours,2
1849,1849,http://e-editiones.ch/project/data/delille#work-gaussstammbuch,3
1850,1850,http://e-editiones.ch/project/data/delille#work-stammbuch,3
1851,1851,http://e-editiones.ch/project/data/delille#work-duboiscours,123
1852,1852,http://e-editiones.ch/project/data/delille#work-bescherellecours,20
1853,1853,http://e-editiones.ch/project/data/delille#work-theilrecueilmorceaux,600
1854,1854-1858,http://e-editiones.ch/project/data/delille#work-henryhistoire,55
1856,1856,http://e-editiones.ch/project/data/delille#work-poitevingrammaire,5
1859,1859,http://e-editiones.ch/project/data/delille#work-andrielectures,32
1859,1859-1882,http://e-editiones.ch/project/data/delille#work-godefroyhistoire,55
1860,1860,http://e-editiones.ch/project/data/delille#work-verenetondit,1
1862,1862,http://e-editiones.ch/project/data/delille#work-dusuzeauchoix,49
1864,1864,http://e-editiones.ch/project/data/delille#work-perennesdictionnaire,47
1865,1865,http://e-editiones.ch/project/data/delille#work-bonnelimagination,2
1865,1865,http://e-editiones.ch/project/data/delille#work-bescherelleart,20
1866,1866,http://e-editiones.ch/project/data/delille#work-chabertnouvellegrammaire,1
1870,1870,http://e-editiones.ch/project/data/delille#work-lambertpoetes,49
1873,1873,http://e-editiones.ch/project/data/delille#work-bueexercices,2
1873,1873,http://e-editiones.ch/project/data/delille#work-poitevincours,10
1877,1877,http://e-editiones.ch/project/data/delille#work-romandmorceaux,42
1883,1883,http://e-editiones.ch/project/data/delille#work-marcoumorceaux,9
