publicationYear,publicationPeriod,dictionary,dictionaryCount
1804,1804-1806,http://e-editiones.ch/project/data/delille#work-sallentinimprovisateur,19
1818,1818,http://e-editiones.ch/project/data/delille#work-varinotdictionnaire,39
1819,1819,http://e-editiones.ch/project/data/delille#work-boissonadedictionnaire,2
1819,1819,http://e-editiones.ch/project/data/delille#work-pougenstresor,5
1822,1822,http://e-editiones.ch/project/data/delille#work-carpentiergradus,92
1842,1842,http://e-editiones.ch/project/data/delille#work-fonsecadictionnaire,8
1845,1845-1847,http://e-editiones.ch/project/data/delille#work-bescherelledictionnaire,15
1846,1846-1847,http://e-editiones.ch/project/data/delille#work-pleeglossaire,40
1848,1848,http://e-editiones.ch/project/data/delille#work-durlindictionnaire,2
1853,1853-1854,http://e-editiones.ch/project/data/delille#work-lachatredictionnaire,7
1860,1860,http://e-editiones.ch/project/data/delille#work-docheznouveaudictionnaire,15
1865,1865-1894,http://e-editiones.ch/project/data/delille#work-dictionnairehistorique,4
1865,1865,http://e-editiones.ch/project/data/delille#work-lafayesupplement,1
1866,1866-1876,http://e-editiones.ch/project/data/delille#work-laroussegranddictionnaire,22
1873,1873-1877,http://e-editiones.ch/project/data/delille#work-littredictionnaire,17
