publicationYear,publicationPeriod,Mémoires___biographies___histoire___etc,Mémoires___biographies___histoire___etcCount
1800,1800,http://e-editiones.ch/project/data/delille#work-mussetpathayvoyage,15
1801,1801,http://e-editiones.ch/project/data/delille#work-bellaireauxauteurs,2
1802,1802,http://e-editiones.ch/project/data/delille#work-anotmalfillatredeuxvoyageurs,29
1808,1808,http://e-editiones.ch/project/data/delille#work-dureaudelamallepyrenees,1
1811,1811,http://e-editiones.ch/project/data/delille#work-muellersaemmtlichewerke6,15
1816,1816,http://e-editiones.ch/project/data/delille#work-minutoliabhandlungen,13
1817,1817,http://e-editiones.ch/project/data/delille#work-lenormandoracles,4
1818,1818,http://e-editiones.ch/project/data/delille#work-candeillesouvenirs,20
1822,1822,http://e-editiones.ch/project/data/delille#work-carrejeuxfloraux,1
1826,1826,http://e-editiones.ch/project/data/delille#work-tajanjeuxfloraux,1
1826,1826,http://e-editiones.ch/project/data/delille#work-thiebautvoyage,7
1828,1828,http://e-editiones.ch/project/data/delille#work-cuchetetsouvenirs,25
1828,1828,http://e-editiones.ch/project/data/delille#work-turpinsouvenirs,27
1830,1830,http://e-editiones.ch/project/data/delille#work-leuvenroi,1
1833,1833,http://e-editiones.ch/project/data/delille#work-deperylettre,12
1833,1833,http://e-editiones.ch/project/data/delille#work-pihanschoell,37
1835,1835,http://e-editiones.ch/project/data/delille#work-memoiresmackintosh,2
1836,1836,http://e-editiones.ch/project/data/delille#work-champagnacgymnase,28
1844,1844,http://e-editiones.ch/project/data/delille#work-anonymesouvenirssaintemenehould,6
1844,1844-1847,http://e-editiones.ch/project/data/delille#work-labouissetrente,10
1847,1847,http://e-editiones.ch/project/data/delille#work-menevalexcursion,11
1847,1847,http://e-editiones.ch/project/data/delille#work-mordaniprose,3
1851,1851,http://e-editiones.ch/project/data/delille#work-archiveshistoriquesdinaux,6
1855,1855,http://e-editiones.ch/project/data/delille#work-mathieucoloniesannalesauvergne,9
1863,1863,http://e-editiones.ch/project/data/delille#work-grelletmemoiresacademieclermont,2
1868,1868,http://e-editiones.ch/project/data/delille#work-jullienchasse,1
1869,1869,http://e-editiones.ch/project/data/delille#work-theillerenotice,38
1875,1875,http://e-editiones.ch/project/data/delille#work-pecheurbulletinsoissons,6
1879,1879,http://e-editiones.ch/project/data/delille#work-dufourechoalpes,3
1879,1879,http://e-editiones.ch/project/data/delille#work-dufourwilliam,3
1881,1881,http://e-editiones.ch/project/data/delille#work-jolietjournaldelajeunesse,16
1883,1883,http://e-editiones.ch/project/data/delille#work-anonymeviebonnat,8
1885,1885,http://e-editiones.ch/project/data/delille#work-asseline_victor_hugo_intime_1885,2
1893,1893,http://e-editiones.ch/project/data/delille#work-paillonannuaireclub,1
1896,1896,http://e-editiones.ch/project/data/delille#work-letacqbulletinorne,6
